0 | function | palavra-reservada
287 | 0 | inteiro

288 | toArray | funcao

289 | function | palavra-reservada

290 | return | palavra-reservada

291 | slice | string

292 | call | string

293 | this | palavra-reservada

294 | get | string

295 | function | palavra-reservada

296 | num | string

297 | if | palavra-reservada

298 | num | string

299 | == | comparador

300 | null | palavra-reservada

301 | return | palavra-reservada

302 | slice | string

303 | call | string

304 | this | palavra-reservada

305 | return | palavra-reservada

306 | num | string

307 | < | comparador

308 | 0 | inteiro

309 | this | palavra-reservada

310 | num | string

311 | this | palavra-reservada

312 | length | string

313 | this | palavra-reservada

314 | num | string

315 | pushStack | funcao

316 | function | palavra-reservada

317 | elems | string

318 | var | palavra-reservada

319 | ret | string

320 | = | operador

321 | jQuery | variavel

322 | merge | string

323 | this | palavra-reservada

324 | constructor | string

325 | elems | string

326 | ret | string

327 | prevObject | funcao

328 | = | operador

329 | this | palavra-reservada

330 | return | palavra-reservada

331 | ret | string

332 | each | string

333 | function | palavra-reservada

334 | callback | string

335 | return | palavra-reservada

336 | jQuery | variavel

337 | each | string

338 | this | palavra-reservada

339 | callback | string

340 | map | string

341 | function | palavra-reservada

342 | callback | string

343 | return | palavra-reservada

344 | this | palavra-reservada

345 | pushStack | funcao

346 | jQuery | variavel

347 | map | string

348 | this | palavra-reservada

349 | function | palavra-reservada

350 | elem | string

351 | i | char

352 | return | palavra-reservada

353 | callback | string

354 | call | string

355 | elem | string

356 | i | char

357 | elem | string

358 | slice | string

359 | function | palavra-reservada

360 | return | palavra-reservada

361 | this | palavra-reservada

362 | pushStack | funcao

363 | slice | string

364 | apply | string

365 | this | palavra-reservada

366 | arguments | palavra-reservada

367 | first | string

368 | function | palavra-reservada

369 | return | palavra-reservada

370 | this | palavra-reservada

371 | eq | string

372 | 0 | inteiro

373 | last | string

374 | function | palavra-reservada

375 | return | palavra-reservada

376 | this | palavra-reservada

377 | eq | string

378 | 1 | inteiro

379 | even | string

380 | function | palavra-reservada

381 | return | palavra-reservada

382 | this | palavra-reservada

383 | pushStack | funcao

384 | jQuery | variavel

385 | grep | string

386 | this | palavra-reservada

387 | function | palavra-reservada

388 | _elem | string

389 | i | char

390 | return | palavra-reservada

391 | i | char

392 | 1 | inteiro

393 | % | char

394 | 2 | inteiro

395 | odd | string

396 | function | palavra-reservada

397 | return | palavra-reservada

398 | this | palavra-reservada

399 | pushStack | funcao

400 | jQuery | variavel

401 | grep | string

402 | this | palavra-reservada

403 | function | palavra-reservada

404 | _elem | string

405 | i | char

406 | return | palavra-reservada

407 | i | char

408 | % | char

409 | 2 | inteiro

410 | eq | string

411 | function | palavra-reservada

412 | i | char

413 | var | palavra-reservada

414 | len | string

415 | = | operador

416 | this | palavra-reservada

417 | length | string

418 | j | char

419 | = | operador

420 | i | char

421 | i | char

422 | < | comparador

423 | 0 | inteiro

424 | len | string

425 | 0 | inteiro

426 | return | palavra-reservada

427 | this | palavra-reservada

428 | pushStack | funcao

429 | j | char

430 | >= | string

431 | 0 | inteiro

432 | && | comparador

433 | j | char

434 | < | comparador

435 | len | string

436 | this | palavra-reservada

437 | j | char

438 | end | string

439 | function | palavra-reservada

440 | return | palavra-reservada

441 | this | palavra-reservada

442 | prevObject | funcao

443 | || | comparador

444 | this | palavra-reservada

445 | constructor | string

446 | push | string

447 | push | string

448 | sort | string

449 | arr | string

450 | sort | string

451 | splice | string

452 | arr | string

453 | splice | string

454 | jQuery | variavel

455 | extend | string

456 | = | operador

457 | jQuery | variavel

458 | fn | string

459 | extend | string

460 | = | operador

461 | function | palavra-reservada

462 | var | palavra-reservada

463 | options | string

464 | name | string

465 | src | string

466 | copy | string

467 | copyIsArray | string

468 | clone | string

469 | target | string

470 | = | operador

471 | arguments | palavra-reservada

472 | 0 | inteiro

473 | || | comparador

474 | i | char

475 | = | operador

476 | 1 | inteiro

477 | length | string

478 | = | operador

479 | arguments | palavra-reservada

480 | length | string

481 | deep | string

482 | = | operador

483 | false | palavra-reservada

484 | if | palavra-reservada

485 | typeof | palavra-reservada

486 | target | string

487 | === | comparador

488 | boolean | palavra-reservada

489 | deep | string

490 | = | operador

491 | target | string

492 | target | string

493 | = | operador

494 | arguments | palavra-reservada

495 | i | char

496 | || | comparador

497 | i | char

498 | if | palavra-reservada

499 | typeof | palavra-reservada

500 | target | string

501 | == | comparador

502 | object | string

503 | && | comparador

504 | isFunction | funcao

505 | target | string

506 | target | string

507 | = | operador

508 | if | palavra-reservada

509 | i | char

510 | === | comparador

511 | length | string

512 | target | string

513 | = | operador

514 | this | palavra-reservada

515 | i | char

516 | for | palavra-reservada

517 | i | char

518 | < | comparador

519 | length | string

520 | i | char

521 | if | palavra-reservada

522 | options | string

523 | = | operador

524 | arguments | palavra-reservada

525 | i | char

526 | = | operador

527 | null | palavra-reservada

528 | for | palavra-reservada

529 | name | string

530 | in | palavra-reservada

531 | options | string

532 | copy | string

533 | = | operador

534 | options | string

535 | name | string

536 | if | palavra-reservada

537 | name | string

538 | === | comparador

539 | __proto__ | string

540 | || | comparador

541 | target | string

542 | === | comparador

543 | copy | string

544 | continue | palavra-reservada

545 | if | palavra-reservada

546 | deep | string

547 | && | comparador

548 | copy | string

549 | && | comparador

550 | jQuery | variavel

551 | isPlainObject | string

552 | copy | string

553 | || | comparador

554 | copyIsArray | string

555 | = | operador

556 | Array | tipo-de-dado

557 | isArray | funcao

558 | copy | string

559 | src | string

560 | = | operador

561 | target | string

562 | name | string

563 | if | palavra-reservada

564 | copyIsArray | string

565 | && | comparador

566 | Array | tipo-de-dado

567 | isArray | funcao

568 | src | string

569 | clone | string

570 | = | operador

571 | else | palavra-reservada

572 | if | palavra-reservada

573 | copyIsArray | string

574 | && | comparador

575 | jQuery | variavel

576 | isPlainObject | string

577 | src | string

578 | clone | string

579 | = | operador

580 | else | palavra-reservada

581 | clone | string

582 | = | operador

583 | src | string

584 | copyIsArray | string

585 | = | operador

586 | false | palavra-reservada

587 | target | string

588 | name | string

589 | = | operador

590 | jQuery | variavel

591 | extend | string

592 | deep | string

593 | clone | string

594 | copy | string

595 | else | palavra-reservada

596 | if | palavra-reservada

597 | copy | string

598 | == | comparador

599 | undefined | tipo-de-dado

600 | target | string

601 | name | string

602 | = | operador

603 | copy | string

604 | return | palavra-reservada

605 | target | string

606 | jQuery | variavel

607 | extend | string

608 | expando | string

609 | jQuery | variavel

610 | version | string

611 | Math | tipo-de-dado

612 | random | string

613 | replace | string

614 | /\D/g | string

615 | isReady | funcao

616 | true | palavra-reservada

617 | error | string

618 | function | palavra-reservada

619 | msg | string

620 | throw | palavra-reservada

621 | new | palavra-reservada

622 | Error | string

623 | msg | string

624 | noop | string

625 | function | palavra-reservada

626 | isPlainObject | string

627 | function | palavra-reservada

628 | obj | string

629 | var | palavra-reservada

630 | proto | string

631 | Ctor | string

632 | if | palavra-reservada

633 | obj | string

634 | || | comparador

635 | toString | funcao

636 | call | string

637 | obj | string

638 | == | comparador

639 | object | string

640 | Object | string

641 | return | palavra-reservada

642 | false | palavra-reservada

643 | proto | string

644 | = | operador

645 | getProto | funcao

646 | obj | string

647 | if | palavra-reservada

648 | proto | string

649 | return | palavra-reservada

650 | true | palavra-reservada

651 | Ctor | string

652 | = | operador

653 | hasOwn | funcao

654 | call | string

655 | proto | string

656 | constructor | string

657 | && | comparador

658 | proto | string

659 | constructor | string

660 | return | palavra-reservada

661 | typeof | palavra-reservada

662 | Ctor | string

663 | === | comparador

664 | function | palavra-reservada

665 | && | comparador

666 | fnToString | string

667 | call | string

668 | Ctor | string

669 | === | comparador

670 | ObjectFunctionString | string

671 | isEmptyObject | string

672 | function | palavra-reservada

673 | obj | string

674 | var | palavra-reservada

675 | name | string

676 | for | palavra-reservada

677 | name | string

678 | in | palavra-reservada

679 | obj | string

680 | return | palavra-reservada

681 | false | palavra-reservada

682 | return | palavra-reservada

683 | true | palavra-reservada

684 | globalEval | funcao

685 | function | palavra-reservada

686 | code | string

687 | options | string

688 | doc | string

689 | DOMEval | string

690 | code | string

691 | nonce | string

692 | options | string

693 | && | comparador

694 | options | string

695 | nonce | string

696 | doc | string

697 | each | string

698 | function | palavra-reservada

699 | obj | string

700 | callback | string

701 | var | palavra-reservada

702 | length | string

703 | i | char

704 | = | operador

705 | 0 | inteiro

706 | if | palavra-reservada

707 | isArrayLike | string

708 | obj | string

709 | length | string

710 | = | operador

711 | obj | string

712 | length | string

713 | for | palavra-reservada

714 | i | char

715 | < | comparador

716 | length | string

717 | i | char

718 | if | palavra-reservada

719 | callback | string

720 | call | string

721 | obj | string

722 | i | char

723 | i | char

724 | obj | string

725 | i | char

726 | === | comparador

727 | false | palavra-reservada

728 | break | palavra-reservada

729 | else | palavra-reservada

730 | for | palavra-reservada

731 | i | char

732 | in | palavra-reservada

733 | obj | string

734 | if | palavra-reservada

735 | callback | string

736 | call | string

737 | obj | string

738 | i | char

739 | i | char

740 | obj | string

741 | i | char

742 | === | comparador

743 | false | palavra-reservada

744 | break | palavra-reservada

745 | return | palavra-reservada

746 | obj | string

747 | makeArray | funcao

748 | function | palavra-reservada

749 | arr | string

750 | results | string

751 | var | palavra-reservada

752 | ret | string

753 | = | operador

754 | results | string

755 | || | comparador

756 | if | palavra-reservada

757 | arr | string

758 | = | operador

759 | null | palavra-reservada

760 | if | palavra-reservada

761 | isArrayLike | string

762 | Object | string

763 | arr | string

764 | jQuery | variavel

765 | merge | string

766 | ret | string

767 | typeof | palavra-reservada

768 | arr | string

769 | === | comparador

770 | string | tipo-de-dado

771 | arr | string

772 | arr | string

773 | else | palavra-reservada

774 | push | string

775 | call | string

776 | ret | string

777 | arr | string

778 | return | palavra-reservada

779 | ret | string

780 | inArray | funcao

781 | function | palavra-reservada

782 | elem | string

783 | arr | string

784 | i | char

785 | return | palavra-reservada

786 | arr | string

787 | == | comparador

788 | null | palavra-reservada

789 | 1 | inteiro

790 | indexOf | funcao

791 | call | string

792 | arr | string

793 | elem | string

794 | i | char

795 | merge | string

796 | function | palavra-reservada

797 | first | string

798 | second | string

799 | var | palavra-reservada

800 | len | string

801 | = | operador

802 | second | string

803 | length | string

804 | j | char

805 | = | operador

806 | 0 | inteiro

807 | i | char

808 | = | operador

809 | first | string

810 | length | string

811 | for | palavra-reservada

812 | j | char

813 | < | comparador

814 | len | string

815 | j | char

816 | first | string

817 | i | char

818 | = | operador

819 | second | string

820 | j | char

821 | first | string

822 | length | string

823 | = | operador

824 | i | char

825 | return | palavra-reservada

826 | first | string

827 | grep | string

828 | function | palavra-reservada

829 | elems | string

830 | callback | string

831 | invert | string

832 | var | palavra-reservada

833 | callbackInverse | funcao

834 | matches | string

835 | = | operador

836 | i | char

837 | = | operador

838 | 0 | inteiro

839 | length | string

840 | = | operador

841 | elems | string

842 | length | string

843 | callbackExpect | funcao

844 | = | operador

845 | invert | string

846 | for | palavra-reservada

847 | i | char

848 | < | comparador

849 | length | string

850 | i | char

851 | callbackInverse | funcao

852 | = | operador

853 | callback | string

854 | elems | string

855 | i | char

856 | i | char

857 | if | palavra-reservada

858 | callbackInverse | funcao

859 | == | comparador

860 | callbackExpect | funcao

861 | matches | string

862 | push | string

863 | elems | string

864 | i | char

865 | return | palavra-reservada

866 | matches | string

867 | map | string

868 | function | palavra-reservada

869 | elems | string

870 | callback | string

871 | arg | string

872 | var | palavra-reservada

873 | length | string

874 | value | string

875 | i | char

876 | = | operador

877 | 0 | inteiro

878 | ret | string

879 | = | operador

880 | if | palavra-reservada

881 | isArrayLike | string

882 | elems | string

883 | length | string

884 | = | operador

885 | elems | string

886 | length | string

887 | for | palavra-reservada

888 | i | char

889 | < | comparador

890 | length | string

891 | i | char

892 | value | string

893 | = | operador

894 | callback | string

895 | elems | string

896 | i | char

897 | i | char

898 | arg | string

899 | if | palavra-reservada

900 | value | string

901 | = | operador

902 | null | palavra-reservada

903 | ret | string

904 | push | string

905 | value | string

906 | else | palavra-reservada

907 | for | palavra-reservada

908 | i | char

909 | in | palavra-reservada

910 | elems | string

911 | value | string

912 | = | operador

913 | callback | string

914 | elems | string

915 | i | char

916 | i | char

917 | arg | string

918 | if | palavra-reservada

919 | value | string

920 | = | operador

921 | null | palavra-reservada

922 | ret | string

923 | push | string

924 | value | string

925 | return | palavra-reservada

926 | flat | string

927 | ret | string

928 | guid | string

929 | 1 | inteiro

930 | support | string

931 | support | string

932 | if | palavra-reservada

933 | typeof | palavra-reservada

934 | Symbol | tipo-de-dado

935 | === | comparador

936 | function | palavra-reservada

937 | jQuery | variavel

938 | fn | string

939 | Symbol | tipo-de-dado

940 | iterator | string

941 | = | operador

942 | arr | string

943 | Symbol | tipo-de-dado

944 | iterator | string

945 | jQuery | variavel

946 | each | string

947 | Boolean | tipo-de-dado

948 | Number | string

949 | String | tipo-de-dado

950 | Function | tipo-de-dado

951 | Array | tipo-de-dado

952 | Date | tipo-de-dado

953 | RegExp | string

954 | Object | string

955 | Error | string

956 | Symbol | tipo-de-dado

957 | split | string

958 | function | palavra-reservada

959 | _i | string

960 | name | string

961 | class2type | string

962 | object | string

963 | name | string

964 | = | operador

965 | name | string

966 | toLowerCase | string

967 | function | palavra-reservada

968 | isArrayLike | string

969 | obj | string

970 | var | palavra-reservada

971 | length | string

