0 | function | palavra-reservada
1263 | new | palavra-reservada

1264 | RegExp | string

1265 | ^ | char

1266 | identifier | string

1267 | $ | char

1268 | matchExpr | funcao

1269 | = | operador

1270 | ID | string

1271 | new | palavra-reservada

1272 | RegExp | string

1273 | ^# | string

1274 | identifier | string

1275 | CLASS | string

1276 | new | palavra-reservada

1277 | RegExp | string

1278 | ^\\ | string

1279 | identifier | string

1280 | TAG | string

1281 | new | palavra-reservada

1282 | RegExp | string

1283 | ^ | char

1284 | identifier | string

1285 | | | char

1286 | * | operador

1287 | ATTR | string

1288 | new | palavra-reservada

1289 | RegExp | string

1290 | ^ | char

1291 | attributes | string

1292 | PSEUDO | string

1293 | new | palavra-reservada

1294 | RegExp | string

1295 | ^ | char

1296 | pseudos | string

1297 | CHILD | string

1298 | new | palavra-reservada

1299 | RegExp | string

1300 | ^ | char

1301 | only|first|last|nth|nth | string

1302 | last | string

1303 | child|of | string

1304 | type | string

1305 | \\ | string

1306 | whitespace | string

1307 | * | operador

1308 | even|odd| | string

1309 | | | char

1310 | \\d* | string

1311 | n| | string

1312 | whitespace | string

1313 | * | operador

1314 | | | char

1315 | whitespace | string

1316 | * | operador

1317 | \\d | string

1318 | | | char

1319 | whitespace | string

1320 | *\\ | string

1321 | | | char

1322 | i | char

1323 | bool | string

1324 | new | palavra-reservada

1325 | RegExp | string

1326 | ^ | char

1327 | booleans | string

1328 | $ | char

1329 | i | char

1330 | needsContext | funcao

1331 | new | palavra-reservada

1332 | RegExp | string

1333 | ^ | char

1334 | whitespace | string

1335 | * | operador

1336 | > | comparador

1337 | ~ | char

1338 | | | char

1339 | even|odd|eq|gt|lt|nth|first|last | string

1340 | \\ | string

1341 | whitespace | string

1342 | * | operador

1343 | \\d | string

1344 | \\d* | string

1345 | whitespace | string

1346 | *\\ | string

1347 | | | char

1348 | = | operador

1349 | ^ | char

1350 | |$ | string

1351 | i | char

1352 | rhtml | string

1353 | = | operador

1354 | /HTML$/i | string

1355 | rinputs | string

1356 | = | operador

1357 | /^ | string

1358 | input|select|textarea|button | string

1359 | $/i | string

1360 | rheader | string

1361 | = | operador

1362 | /^h\d$/i | string

1363 | rnative | string

1364 | = | operador

1365 | /^ | string

1366 | ^ | char

1367 | \ | char

1368 | \s*\ | string

